신용등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
AAA,95310.98209511153,21797.413408008055,14220.411580095155,347183.1692540833,270573.9050985038,97286.34400741078,63233.95666011085,25059.117791745888,103723.02052629516
AAA,164860.17152936698,25551.464391892267,15535.465669552772,606168.5408648556,294577.94172082364,310476.0624462535,42534.766661912,27319.441905479955,124316.55886410951
AAA,255027.6531189605,39153.923225662016,26914.623768769845,547140.520886218,286231.51703125995,194317.6766072804,0.1,55773.81972706412,153595.34871865826
AAA,240933.5770745058,30479.354138253395,18559.642121769764,484213.6736218777,119567.36672687248,334390.6055943895,235674.56359536224,36425.353204246254,137486.49997549946
AAA,189975.09776726022,30630.733027382237,16951.9415261489,630544.4309092439,411950.1019298185,190907.967995373,57692.64437325937,58037.16000899745,229411.41822733358
AAA,250357.8012440514,7738.468230799885,6758.845571864313,747487.9479240287,449621.36135424394,226399.74936411052,0.1,43093.57249071285,188576.36748724477
AAA,179323.03508211306,10114.451580462002,15171.677370693003,226366.64282540075,35261.5672246695,146764.0358729883,34921.92665929355,24729.785830277346,103272.85054352024
AAA,160183.0047246048,34437.332584046606,30736.687166594398,199836.700659826,82667.2697814843,114081.43541259447,92857.45311603672,28685.702370915584,16670.088244421306
AAA,24074.267980495584,7120.200894071565,4921.22729586389,378796.1131343511,191039.55379762713,252478.0976033368,111038.70517376778,-14739.608117212596,82361.67739912347
AAA,247092.8230476138,15517.612577848338,13195.328871125901,375717.8728987374,127815.2732784295,207204.73940762389,58051.315900989626,43131.208962702854,10602.348643959922
AAA,167588.42802584887,17113.370806328207,7332.712221595157,405629.747610659,212115.11921342395,189729.99969098484,131663.82523951383,33485.77189442226,95817.62329649365
AAA,236821.19589318516,23825.56959180497,17663.610792098887,526416.8302354915,267838.50354130205,207970.61188780036,0.1,32954.19887670411,107453.94388865663
AAA,73043.03236654101,27233.33942160809,18481.894163270837,256775.7295852058,37575.924766213255,244904.30086157832,0.1,52974.21688719923,35718.37336622552
AAA,141494.60397700855,-6334.357666652564,-3589.5546858954476,519214.2739485551,342781.80475047324,149702.2086353085,60082.23033035082,27871.975834962657,248614.51646171854
AAA,17143.371897450153,1056.0777396227386,1584.1166094341079,86037.39600925473,17138.149051649176,106507.16925527621,0.1,28165.588060615097,25516.651336202616
AAA,177896.76712794913,22037.168766331553,12685.234603689412,467120.84283951117,251493.0747876243,205838.27876048465,140549.54299073218,50218.9218255865,145036.50608260563
